stage,status,gain,block_B,alpha,persist_k,roc_auc_wc,pr_auc_wc,pr_auc,roc_auc,anomaly_detect_rate,benign_run_alert_rate,benign_run_keep_rate,median_time_to_detect_s,diag_source,diag_top1_acc,diag_top2_acc,diag_macro_f1,diag_selective_top2_acc,diag_selective_coverage,diag_mechanism_top1_proxy,diag_mechanism_top2_proxy,diag_mechanism_top3_proxy,feature_profile,selection_mode,out_dir,diag_strong_score,has_diag_over_0_8,alert_utility,profile_label,stage_group
alpha_persist,ok,0.35,90,0.05,1,1.0,1.0000000000000002,0.9897096908939014,0.95,0.95,0.0,1.0,90.0,feature-level,0.3,0.4,0.2,0.95,0.9,0.7333333333333333,1.0,1.0,full,diagnosis_low_fp,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B90_a0.05_k1,1.0,1,1.085,Full,Stage 2
alpha_persist,ok,0.35,90,0.05,2,1.0,1.0000000000000002,0.9897096908939014,0.95,0.95,0.0,1.0,91.0,feature-level,0.3,0.4,0.2,1.0,0.1,0.7333333333333333,1.0,1.0,full,diagnosis_low_fp,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B90_a0.05_k2,1.0,1,1.085,Full,Stage 2
alpha_persist,ok,0.35,90,0.05,3,1.0,1.0000000000000002,0.9897096908939014,0.95,0.95,0.0,1.0,92.0,feature-level,0.3,0.4,0.2,1.0,0.1,0.7333333333333333,1.0,1.0,full,diagnosis_low_fp,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B90_a0.05_k3,1.0,1,1.085,Full,Stage 2
alpha_persist,ok,0.35,90,0.05,4,1.0,1.0000000000000002,0.9897096908939014,0.95,0.95,0.0,1.0,93.0,feature-level,0.3,0.4,0.2,1.0,0.1,0.7333333333333333,1.0,1.0,full,diagnosis_low_fp,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B90_a0.05_k4,1.0,1,1.085,Full,Stage 2
alpha_persist,ok,0.35,90,0.05,5,1.0,1.0000000000000002,0.9897096908939014,0.95,0.95,0.0,1.0,94.0,feature-level,0.3,0.4,0.2,1.0,0.05,0.7333333333333333,1.0,1.0,full,diagnosis_low_fp,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B90_a0.05_k5,1.0,1,1.085,Full,Stage 2
alpha_persist,ok,0.35,90,0.05,7,1.0,1.0000000000000002,0.9897096908939014,0.95,0.95,0.0,1.0,96.0,feature-level,0.3,0.4,0.2,1.0,0.05,0.7333333333333333,1.0,1.0,full,diagnosis_low_fp,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B90_a0.05_k7,1.0,1,1.085,Full,Stage 2
alpha_persist,ok,0.35,90,0.08,1,1.0,1.0000000000000002,0.9897096908939014,0.95,0.95,0.0,1.0,90.0,feature-level,0.3,0.4,0.2,1.0,0.05,0.7333333333333333,1.0,1.0,full,diagnosis_low_fp,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B90_a0.08_k1,1.0,1,1.085,Full,Stage 2
alpha_persist,ok,0.35,90,0.08,2,1.0,1.0000000000000002,0.9897096908939014,0.95,0.95,0.0,1.0,91.0,feature-level,0.3,0.4,0.2,1.0,0.05,0.7333333333333333,1.0,1.0,full,diagnosis_low_fp,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B90_a0.08_k2,1.0,1,1.085,Full,Stage 2
alpha_persist,ok,0.35,90,0.08,3,1.0,1.0000000000000002,0.9897096908939014,0.95,0.95,0.0,1.0,92.0,feature-level,0.3,0.4,0.2,1.0,0.05,0.7333333333333333,1.0,1.0,full,diagnosis_low_fp,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B90_a0.08_k3,1.0,1,1.085,Full,Stage 2
alpha_persist,ok,0.35,90,0.08,4,1.0,1.0000000000000002,0.9897096908939014,0.95,0.95,0.0,1.0,93.0,feature-level,0.3,0.4,0.2,0.95,0.3,0.7333333333333333,1.0,1.0,full,diagnosis_low_fp,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B90_a0.08_k4,1.0,1,1.085,Full,Stage 2
alpha_persist,ok,0.35,90,0.08,5,1.0,1.0000000000000002,0.9897096908939014,0.95,0.95,0.0,1.0,94.0,feature-level,0.3,0.4,0.2,0.95,0.3,0.7333333333333333,1.0,1.0,full,diagnosis_low_fp,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B90_a0.08_k5,1.0,1,1.085,Full,Stage 2
alpha_persist,ok,0.35,90,0.08,7,1.0,1.0000000000000002,0.9897096908939014,0.95,0.95,0.0,1.0,96.0,feature-level,0.3,0.4,0.2,0.95,0.3,0.7333333333333333,1.0,1.0,full,diagnosis_low_fp,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B90_a0.08_k7,1.0,1,1.085,Full,Stage 2
alpha_persist,ok,0.35,90,0.1,1,1.0,1.0000000000000002,0.9897096908939014,0.95,0.95,0.0,1.0,90.0,feature-level,0.3,0.4,0.2,1.0,0.05,0.7333333333333333,1.0,1.0,full,diagnosis_low_fp,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B90_a0.1_k1,1.0,1,1.085,Full,Stage 2
alpha_persist,ok,0.35,90,0.1,2,1.0,1.0000000000000002,0.9897096908939014,0.95,0.95,0.0,1.0,91.0,feature-level,0.3,0.4,0.2,1.0,0.05,0.7333333333333333,1.0,1.0,full,diagnosis_low_fp,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B90_a0.1_k2,1.0,1,1.085,Full,Stage 2
alpha_persist,ok,0.35,90,0.1,3,1.0,1.0000000000000002,0.9897096908939014,0.95,0.95,0.0,1.0,92.0,feature-level,0.3,0.4,0.2,1.0,0.05,0.7333333333333333,1.0,1.0,full,diagnosis_low_fp,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B90_a0.1_k3,1.0,1,1.085,Full,Stage 2
alpha_persist,ok,0.35,90,0.1,4,1.0,1.0000000000000002,0.9897096908939014,0.95,0.95,0.0,1.0,93.0,feature-level,0.3,0.4,0.2,0.95,0.3,0.7333333333333333,1.0,1.0,full,diagnosis_low_fp,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B90_a0.1_k4,1.0,1,1.085,Full,Stage 2
alpha_persist,ok,0.35,90,0.1,5,1.0,1.0000000000000002,0.9897096908939014,0.95,0.95,0.0,1.0,94.0,feature-level,0.3,0.4,0.2,0.95,0.3,0.7333333333333333,1.0,1.0,full,diagnosis_low_fp,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B90_a0.1_k5,1.0,1,1.085,Full,Stage 2
alpha_persist,ok,0.35,90,0.1,7,1.0,1.0000000000000002,0.9897096908939014,0.95,0.95,0.0,1.0,96.0,feature-level,0.3,0.4,0.2,0.95,0.1,0.7333333333333333,1.0,1.0,full,diagnosis_low_fp,/Users/hsiaopingni/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B90_a0.1_k7,1.0,1,1.085,Full,Stage 2
